question_type,question,answer
interactions with foods,Are there interactions between Palm Oil and foods ?,
dose,What is the dosage of Palm Oil ?,
information,What is Pantothenic acid (Vitamin B5) ?,
how effective is it,How effective is Pantothenic acid (Vitamin B5) ?,
how does it work,What is the action of Pantothenic acid (Vitamin B5) and how does it work ?,
precautions,Are there safety concerns or special precautions about Pantothenic acid (Vitamin B5) ?,
interactions with medications,Are there interactions between Pantothenic acid (Vitamin B5) and other medications ?,
interactions with herbs and supplements,Are there interactions between Pantothenic acid (Vitamin B5) and herbs and supplements ?,
interactions with foods,Are there interactions between Pantothenic acid (Vitamin B5) and foods ?,
dose,What is the dosage of Pantothenic acid (Vitamin B5) ?,
information,What is Papaya ?,
how effective is it,How effective is Papaya ?,
how does it work,What is the action of Papaya and how does it work ?,
precautions,Are there safety concerns or special precautions about Papaya ?,
interactions with medications,Are there interactions between Papaya and other medications ?,
interactions with herbs and supplements,Are there interactions between Papaya and herbs and supplements ?,
interactions with foods,Are there interactions between Papaya and foods ?,
dose,What is the dosage of Papaya ?,
information,What is Pau D'arco ?,
how effective is it,How effective is Pau D'arco ?,
how does it work,What is the action of Pau D'arco and how does it work ?,
precautions,Are there safety concerns or special precautions about Pau D'arco ?,
interactions with medications,Are there interactions between Pau D'arco and other medications ?,
interactions with herbs and supplements,Are there interactions between Pau D'arco and herbs and supplements ?,
interactions with foods,Are there interactions between Pau D'arco and foods ?,
dose,What is the dosage of Pau D'arco ?,
information,What is Peanut Oil ?,
how effective is it,How effective is Peanut Oil ?,
how does it work,What is the action of Peanut Oil and how does it work ?,
precautions,Are there safety concerns or special precautions about Peanut Oil ?,
interactions with medications,Are there interactions between Peanut Oil and other medications ?,
interactions with herbs and supplements,Are there interactions between Peanut Oil and herbs and supplements ?,
interactions with foods,Are there interactions between Peanut Oil and foods ?,
dose,What is the dosage of Peanut Oil ?,
information,What is Pennyroyal ?,
how effective is it,How effective is Pennyroyal ?,
how does it work,What is the action of Pennyroyal and how does it work ?,
precautions,Are there safety concerns or special precautions about Pennyroyal ?,
interactions with medications,Are there interactions between Pennyroyal and other medications ?,
interactions with herbs and supplements,Are there interactions between Pennyroyal and herbs and supplements ?,
interactions with foods,Are there interactions between Pennyroyal and foods ?,
dose,What is the dosage of Pennyroyal ?,
information,What is Phosphate salts ?,
how effective is it,How effective is Phosphate salts ?,
how does it work,What is the action of Phosphate salts and how does it work ?,
precautions,Are there safety concerns or special precautions about Phosphate salts ?,
interactions with medications,Are there interactions between Phosphate salts and other medications ?,
interactions with herbs and supplements,Are there interactions between Phosphate salts and herbs and supplements ?,
interactions with foods,Are there interactions between Phosphate salts and foods ?,
dose,What is the dosage of Phosphate salts ?,
information,What is Propolis ?,
how effective is it,How effective is Propolis ?,
how does it work,What is the action of Propolis and how does it work ?,
precautions,Are there safety concerns or special precautions about Propolis ?,
interactions with medications,Are there interactions between Propolis and other medications ?,
interactions with herbs and supplements,Are there interactions between Propolis and herbs and supplements ?,
interactions with foods,Are there interactions between Propolis and foods ?,
dose,What is the dosage of Propolis ?,
information,What is Pycnogenol ?,
how effective is it,How effective is Pycnogenol ?,
how does it work,What is the action of Pycnogenol and how does it work ?,
precautions,Are there safety concerns or special precautions about Pycnogenol ?,
interactions with medications,Are there interactions between Pycnogenol and other medications ?,
interactions with herbs and supplements,Are there interactions between Pycnogenol and herbs and supplements ?,
interactions with foods,Are there interactions between Pycnogenol and foods ?,
dose,What is the dosage of Pycnogenol ?,
information,What is Pyridoxine (Vitamin B6) ?,
how effective is it,How effective is Pyridoxine (Vitamin B6) ?,
how does it work,What is the action of Pyridoxine (Vitamin B6) and how does it work ?,
precautions,Are there safety concerns or special precautions about Pyridoxine (Vitamin B6) ?,
interactions with medications,Are there interactions between Pyridoxine (Vitamin B6) and other medications ?,
interactions with herbs and supplements,Are there interactions between Pyridoxine (Vitamin B6) and herbs and supplements ?,
interactions with foods,Are there interactions between Pyridoxine (Vitamin B6) and foods ?,
dose,What is the dosage of Pyridoxine (Vitamin B6) ?,
information,What is Raspberry Ketone ?,
how effective is it,How effective is Raspberry Ketone ?,
how does it work,What is the action of Raspberry Ketone and how does it work ?,
precautions,Are there safety concerns or special precautions about Raspberry Ketone ?,
interactions with medications,Are there interactions between Raspberry Ketone and other medications ?,
interactions with herbs and supplements,Are there interactions between Raspberry Ketone and herbs and supplements ?,
interactions with foods,Are there interactions between Raspberry Ketone and foods ?,
dose,What is the dosage of Raspberry Ketone ?,
information,What is Reishi Mushroom ?,
how effective is it,How effective is Reishi Mushroom ?,
how does it work,What is the action of Reishi Mushroom and how does it work ?,
precautions,Are there safety concerns or special precautions about Reishi Mushroom ?,
interactions with medications,Are there interactions between Reishi Mushroom and other medications ?,
interactions with herbs and supplements,Are there interactions between Reishi Mushroom and herbs and supplements ?,
interactions with foods,Are there interactions between Reishi Mushroom and foods ?,
dose,What is the dosage of Reishi Mushroom ?,
information,What is Resveratrol ?,
how effective is it,How effective is Resveratrol ?,
how does it work,What is the action of Resveratrol and how does it work ?,
precautions,Are there safety concerns or special precautions about Resveratrol ?,
interactions with medications,Are there interactions between Resveratrol and other medications ?,
interactions with herbs and supplements,Are there interactions between Resveratrol and herbs and supplements ?,
interactions with foods,Are there interactions between Resveratrol and foods ?,
dose,What is the dosage of Resveratrol ?,
information,What is Riboflavin ?,
how effective is it,How effective is Riboflavin ?,
how does it work,What is the action of Riboflavin and how does it work ?,
precautions,Are there safety concerns or special precautions about Riboflavin ?,
interactions with medications,Are there interactions between Riboflavin and other medications ?,
interactions with herbs and supplements,Are there interactions between Riboflavin and herbs and supplements ?,
interactions with foods,Are there interactions between Riboflavin and foods ?,
dose,What is the dosage of Riboflavin ?,
information,What is Roman chamomile ?,
how effective is it,How effective is Roman chamomile ?,
how does it work,What is the action of Roman chamomile and how does it work ?,
precautions,Are there safety concerns or special precautions about Roman chamomile ?,
interactions with medications,Are there interactions between Roman chamomile and other medications ?,
interactions with herbs and supplements,Are there interactions between Roman chamomile and herbs and supplements ?,
interactions with foods,Are there interactions between Roman chamomile and foods ?,
dose,What is the dosage of Roman chamomile ?,
information,What is Rose Hip ?,
how effective is it,How effective is Rose Hip ?,
how does it work,What is the action of Rose Hip and how does it work ?,
precautions,Are there safety concerns or special precautions about Rose Hip ?,
interactions with medications,Are there interactions between Rose Hip and other medications ?,
interactions with herbs and supplements,Are there interactions between Rose Hip and herbs and supplements ?,
interactions with foods,Are there interactions between Rose Hip and foods ?,
dose,What is the dosage of Rose Hip ?,
information,What is Saccharomyces boulardii ?,
how effective is it,How effective is Saccharomyces boulardii ?,
how does it work,What is the action of Saccharomyces boulardii and how does it work ?,
precautions,Are there safety concerns or special precautions about Saccharomyces boulardii ?,
interactions with medications,Are there interactions between Saccharomyces boulardii and other medications ?,
interactions with herbs and supplements,Are there interactions between Saccharomyces boulardii and herbs and supplements ?,
interactions with foods,Are there interactions between Saccharomyces boulardii and foods ?,
dose,What is the dosage of Saccharomyces boulardii ?,
information,What is Senna ?,
how effective is it,How effective is Senna ?,
how does it work,What is the action of Senna and how does it work ?,
precautions,Are there safety concerns or special precautions about Senna ?,
interactions with medications,Are there interactions between Senna and other medications ?,
interactions with herbs and supplements,Are there interactions between Senna and herbs and supplements ?,
interactions with foods,Are there interactions between Senna and foods ?,
dose,What is the dosage of Senna ?,
information,What is Shark cartilage ?,
how effective is it,How effective is Shark cartilage ?,
how does it work,What is the action of Shark cartilage and how does it work ?,
precautions,Are there safety concerns or special precautions about Shark cartilage ?,
interactions with medications,Are there interactions between Shark cartilage and other medications ?,
interactions with herbs and supplements,Are there interactions between Shark cartilage and herbs and supplements ?,
interactions with foods,Are there interactions between Shark cartilage and foods ?,
dose,What is the dosage of Shark cartilage ?,
information,What is Slippery Elm ?,
how effective is it,How effective is Slippery Elm ?,
how does it work,What is the action of Slippery Elm and how does it work ?,
precautions,Are there safety concerns or special precautions about Slippery Elm ?,
interactions with medications,Are there interactions between Slippery Elm and other medications ?,
interactions with herbs and supplements,Are there interactions between Slippery Elm and herbs and supplements ?,
interactions with foods,Are there interactions between Slippery Elm and foods ?,
dose,What is the dosage of Slippery Elm ?,
information,What is Spearmint ?,
how effective is it,How effective is Spearmint ?,
how does it work,What is the action of Spearmint and how does it work ?,
precautions,Are there safety concerns or special precautions about Spearmint ?,
interactions with medications,Are there interactions between Spearmint and other medications ?,
interactions with herbs and supplements,Are there interactions between Spearmint and herbs and supplements ?,
interactions with foods,Are there interactions between Spearmint and foods ?,
dose,What is the dosage of Spearmint ?,
information,What is Stevia ?,
how effective is it,How effective is Stevia ?,
how does it work,What is the action of Stevia and how does it work ?,
precautions,Are there safety concerns or special precautions about Stevia ?,
interactions with medications,Are there interactions between Stevia and other medications ?,
interactions with herbs and supplements,Are there interactions between Stevia and herbs and supplements ?,
interactions with foods,Are there interactions between Stevia and foods ?,
dose,What is the dosage of Stevia ?,
information,What is Thiamine (Vitamin B1) ?,
how effective is it,How effective is Thiamine (Vitamin B1) ?,
how does it work,What is the action of Thiamine (Vitamin B1) and how does it work ?,
precautions,Are there safety concerns or special precautions about Thiamine (Vitamin B1) ?,
interactions with medications,Are there interactions between Thiamine (Vitamin B1) and other medications ?,
interactions with herbs and supplements,Are there interactions between Thiamine (Vitamin B1) and herbs and supplements ?,
interactions with foods,Are there interactions between Thiamine (Vitamin B1) and foods ?,
dose,What is the dosage of Thiamine (Vitamin B1) ?,
information,What is Vitamin K ?,
how effective is it,How effective is Vitamin K ?,
how does it work,What is the action of Vitamin K and how does it work ?,
precautions,Are there safety concerns or special precautions about Vitamin K ?,
interactions with medications,Are there interactions between Vitamin K and other medications ?,
interactions with herbs and supplements,Are there interactions between Vitamin K and herbs and supplements ?,
interactions with foods,Are there interactions between Vitamin K and foods ?,
dose,What is the dosage of Vitamin K ?,
information,What is Whey Protein ?,
how effective is it,How effective is Whey Protein ?,
how does it work,What is the action of Whey Protein and how does it work ?,
precautions,Are there safety concerns or special precautions about Whey Protein ?,
interactions with medications,Are there interactions between Whey Protein and other medications ?,
interactions with herbs and supplements,Are there interactions between Whey Protein and herbs and supplements ?,
interactions with foods,Are there interactions between Whey Protein and foods ?,
dose,What is the dosage of Whey Protein ?,
information,What is Wild yam ?,
how effective is it,How effective is Wild yam ?,
how does it work,What is the action of Wild yam and how does it work ?,
precautions,Are there safety concerns or special precautions about Wild yam ?,
interactions with medications,Are there interactions between Wild yam and other medications ?,
interactions with herbs and supplements,Are there interactions between Wild yam and herbs and supplements ?,
interactions with foods,Are there interactions between Wild yam and foods ?,
dose,What is the dosage of Wild yam ?,
information,What is Willow Bark ?,
how effective is it,How effective is Willow Bark ?,
how does it work,What is the action of Willow Bark and how does it work ?,
precautions,Are there safety concerns or special precautions about Willow Bark ?,
interactions with medications,Are there interactions between Willow Bark and other medications ?,
interactions with herbs and supplements,Are there interactions between Willow Bark and herbs and supplements ?,
interactions with foods,Are there interactions between Willow Bark and foods ?,
dose,What is the dosage of Willow Bark ?,
information,What is Yerba Mate ?,
how effective is it,How effective is Yerba Mate ?,
how does it work,What is the action of Yerba Mate and how does it work ?,
precautions,Are there safety concerns or special precautions about Yerba Mate ?,
interactions with medications,Are there interactions between Yerba Mate and other medications ?,
interactions with herbs and supplements,Are there interactions between Yerba Mate and herbs and supplements ?,
interactions with foods,Are there interactions between Yerba Mate and foods ?,
dose,What is the dosage of Yerba Mate ?,
information,What is Zinc ?,
how effective is it,How effective is Zinc ?,
how does it work,What is the action of Zinc and how does it work ?,
precautions,Are there safety concerns or special precautions about Zinc ?,
interactions with medications,Are there interactions between Zinc and other medications ?,
interactions with herbs and supplements,Are there interactions between Zinc and herbs and supplements ?,
interactions with foods,Are there interactions between Zinc and foods ?,
dose,What is the dosage of Zinc ?,
information,What is 5-HTP ?,
how effective is it,How effective is 5-HTP ?,
how does it work,What is the action of 5-HTP and how does it work ?,
precautions,Are there safety concerns or special precautions about 5-HTP ?,
interactions with medications,Are there interactions between 5-HTP and other medications ?,
interactions with herbs and supplements,Are there interactions between 5-HTP and herbs and supplements ?,
interactions with foods,Are there interactions between 5-HTP and foods ?,
dose,What is the dosage of 5-HTP ?,
